GPU reduction,256,61700
CPU,512,1300
GPU atomic,512,37000
GPU reduction,512,73800
CPU,1024,1600
GPU atomic,1024,25800
GPU reduction,1024,75500
CPU,2048,3200
GPU atomic,2048,32500
GPU reduction,2048,90800
CPU,2,200
GPU atomic,2,35300
GPU reduction,2,34500
CPU,4,200
GPU atomic,4,30000
GPU reduction,4,36200
CPU,8,300
GPU atomic,8,20400
GPU reduction,8,43300
CPU,16,300
GPU atomic,16,36700
GPU reduction,16,55900
CPU,32,300
GPU atomic,32,21300
GPU reduction,32,59700
CPU,64,200
GPU atomic,64,25700
GPU reduction,64,56500
CPU,128,400
GPU atomic,128,24900
GPU reduction,128,65400
CPU,256,500
GPU atomic,256,34100
GPU reduction,256,94300
CPU,512,800
GPU atomic,512,24000
GPU reduction,512,67100
CPU,1024,1600
GPU atomic,1024,22200
GPU reduction,1024,71900
CPU,2048,3300
GPU atomic,2048,24100
GPU reduction,2048,77900
CPU,2,200
GPU atomic,2,21900
GPU reduction,2,24600
CPU,4,200
GPU atomic,4,39200
GPU reduction,4,36800
CPU,8,200
GPU atomic,8,38400
GPU reduction,8,44800
CPU,16,200
GPU atomic,16,33200
GPU reduction,16,50300
CPU,32,200
GPU atomic,32,37700
GPU reduction,32,52700
CPU,64,400
GPU atomic,64,40700
GPU reduction,64,55900
CPU,128,400
GPU atomic,128,25500
GPU reduction,128,58200
CPU,256,700
GPU atomic,256,39200
GPU reduction,256,67800
CPU,512,900
GPU atomic,512,28100
GPU reduction,512,69500
CPU,1024,1600
GPU atomic,1024,25500
GPU reduction,1024,77700
CPU,2048,3900
GPU atomic,2048,35300
GPU reduction,2048,82200
CPU,2,200
GPU atomic,2,24500
GPU reduction,2,42300
CPU,4,200
GPU atomic,4,27000
GPU reduction,4,34500
CPU,8,200
GPU atomic,8,24200
GPU reduction,8,49700
CPU,16,300
GPU atomic,16,30100
GPU reduction,16,48000
CPU,32,200
GPU atomic,32,119600
GPU reduction,32,52000
CPU,64,400
GPU atomic,64,30100
GPU reduction,64,70300
CPU,128,600
GPU atomic,128,40600
GPU reduction,128,71100
CPU,256,700
GPU atomic,256,24800
GPU reduction,256,64900
CPU,512,900
GPU atomic,512,22300
GPU reduction,512,66300
CPU,1024,1700
GPU atomic,1024,64600
GPU reduction,1024,76700
CPU,2048,3200
GPU atomic,2048,26400
GPU reduction,2048,79100
CPU,2,200
GPU atomic,2,28400
GPU reduction,2,43700
CPU,4,400
GPU atomic,4,39800
GPU reduction,4,67700
CPU,8,100
GPU atomic,8,36800
GPU reduction,8,44300
CPU,16,200
GPU atomic,16,26200
GPU reduction,16,56100
CPU,32,200
GPU atomic,32,158500
GPU reduction,32,57400
CPU,64,400
GPU atomic,64,111600
GPU reduction,64,119300
CPU,128,500
GPU atomic,128,28100
GPU reduction,128,74100
CPU,256,500
GPU atomic,256,59700
GPU reduction,256,68200
CPU,512,900
GPU atomic,512,23700
GPU reduction,512,66900
CPU,1024,1600
GPU atomic,1024,29300
GPU reduction,1024,78800
CPU,2048,3000
GPU atomic,2048,26400
GPU reduction,2048,77400
CPU,2,200
GPU atomic,2,31200
GPU reduction,2,31200
CPU,4,200
GPU atomic,4,27000
GPU reduction,4,32000
CPU,8,200
GPU atomic,8,22600
GPU reduction,8,42300
